Time(s)	TLK3(3,40)	TLK3(4,40)	TLK3(5,40)
 1.1800004e+02	 5.6397693e+02	 2.7316000e+02	 2.7316000e+02
 1.1900003e+02	 5.6397693e+02	 2.7316000e+02	 2.7316000e+02
 1.2000007e+02	 5.6397742e+02	 2.7316000e+02	 2.7316000e+02
 1.2100005e+02	 5.6397778e+02	 2.7316000e+02	 2.7316000e+02
 1.2200008e+02	 5.6397852e+02	 2.7316000e+02	 2.7316000e+02
 1.2300022e+02	 5.6397943e+02	 2.7316000e+02	 2.7316000e+02
 1.2400007e+02	 5.6398065e+02	 2.7316000e+02	 2.7316000e+02
 1.2500008e+02	 5.6398224e+02	 2.7316000e+02	 2.7316000e+02
 1.2600005e+02	 5.6398370e+02	 2.7316000e+02	 2.7316000e+02
 1.2700005e+02	 5.6398535e+02	 2.7316000e+02	 2.7316000e+02
 1.2800008e+02	 5.6398724e+02	 2.7316000e+02	 2.7316000e+02
 1.2900026e+02	 5.6398962e+02	 2.7316000e+02	 2.7316000e+02
 1.3000006e+02	 5.6399176e+02	 2.7316000e+02	 2.7316000e+02
 1.3100023e+02	 5.6399396e+02	 2.7316000e+02	 2.7316000e+02
 1.3200002e+02	 5.6399640e+02	 2.7316000e+02	 2.7316000e+02
 1.3300009e+02	 5.6399890e+02	 2.7316000e+02	 2.7316000e+02
 1.3400003e+02	 5.6400171e+02	 2.7316000e+02	 2.7316000e+02
 1.3500020e+02	 5.6400439e+02	 2.7316000e+02	 2.7316000e+02
 1.3600014e+02	 5.6400751e+02	 2.7316000e+02	 2.7316000e+02
 1.3700008e+02	 5.6401025e+02	 2.7316000e+02	 2.7316000e+02
 1.3800002e+02	 5.6401300e+02	 2.7316000e+02	 2.7316000e+02
 1.3900027e+02	 5.6401599e+02	 2.7316000e+02	 2.7316000e+02
 1.4000012e+02	 5.6401868e+02	 2.7316000e+02	 2.7316000e+02
 1.4100006e+02	 5.6402173e+02	 2.7316000e+02	 2.7316000e+02
 1.4200020e+02	 5.6402454e+02	 2.7316000e+02	 2.7316000e+02
 1.4300023e+02	 5.6402716e+02	 2.7316000e+02	 2.7316000e+02
 1.4400017e+02	 5.6403021e+02	 2.7316000e+02	 2.7316000e+02
 1.4500008e+02	 5.6403278e+02	 2.7316000e+02	 2.7316000e+02
 1.4600002e+02	 5.6403522e+02	 2.7316000e+02	 2.7316000e+02
 1.4700005e+02	 5.6403796e+02	 2.7316000e+02	 2.7316000e+02
 1.4800018e+02	 5.6404077e+02	 2.7316000e+02	 2.7316000e+02
 1.4900020e+02	 5.6404419e+02	 2.7316000e+02	 2.7316000e+02
 1.5000011e+02	 5.6404694e+02	 2.7316000e+02	 2.7316000e+02
 1.5100027e+02	 5.6404956e+02	 2.7316000e+02	 2.7316000e+02
 1.5200009e+02	 5.6405219e+02	 2.7316000e+02	 2.7316000e+02
 1.5300018e+02	 5.6405444e+02	 2.7316000e+02	 2.7316000e+02
 1.5400015e+02	 5.6405682e+02	 2.7316000e+02	 2.7316000e+02
 1.5500002e+02	 5.6405872e+02	 2.7316000e+02	 2.7316000e+02
 1.5600008e+02	 5.6406091e+02	 2.7316000e+02	 2.7316000e+02
 1.5700009e+02	 5.6406268e+02	 2.7316000e+02	 2.7316000e+02
 1.5800018e+02	 5.6406445e+02	 2.7316000e+02	 2.7316000e+02
 1.5900018e+02	 5.6406616e+02	 2.7316000e+02	 2.7316000e+02
 1.6000003e+02	 5.6406781e+02	 2.7316000e+02	 2.7316000e+02
 1.6100005e+02	 5.6406940e+02	 2.7316000e+02	 2.7316000e+02
 1.6200008e+02	 5.6407062e+02	 2.7316000e+02	 2.7316000e+02
 1.6300006e+02	 5.6407202e+02	 2.7316000e+02	 2.7316000e+02
 1.6400012e+02	 5.6407336e+02	 2.7316000e+02	 2.7316000e+02
 1.6410002e+02	 5.2727527e+02	 2.7316000e+02	 2.7316000e+02
 1.6420000e+02	 4.9320831e+02	 2.7316000e+02	 2.7316000e+02
 1.6430002e+02	 4.2812671e+02	 2.7316000e+02	 2.7316000e+02
 1.6440001e+02	 4.2724243e+02	 2.7316000e+02	 2.7316000e+02
 1.6450003e+02	 4.2971869e+02	 2.7316000e+02	 2.7316000e+02
 1.6460002e+02	 4.3162500e+02	 2.7316000e+02	 2.7316000e+02
 1.6470001e+02	 4.3300348e+02	 2.7316000e+02	 2.7316000e+02
 1.6480003e+02	 4.3156253e+02	 2.7316000e+02	 2.7316000e+02
 1.6490002e+02	 4.3044409e+02	 2.7316000e+02	 2.7316000e+02
 1.6500003e+02	 4.2743445e+02	 2.7316000e+02	 2.7316000e+02
 1.6510007e+02	 4.2484930e+02	 2.7316000e+02	 2.7316000e+02
 1.6520001e+02	 4.1850381e+02	 2.7316000e+02	 2.7316000e+02
 1.6530002e+02	 4.2350641e+02	 2.7316000e+02	 2.7316000e+02
 1.6540002e+02	 4.4180969e+02	 2.7316000e+02	 2.7316000e+02
 1.6550002e+02	 4.3193738e+02	 2.7316000e+02	 2.7316000e+02
 1.6560004e+02	 4.3311984e+02	 2.7316000e+02	 2.7316000e+02
 1.6570004e+02	 4.3283987e+02	 2.7316000e+02	 2.7316000e+02
 1.6580003e+02	 4.3341345e+02	 2.7316000e+02	 2.7316000e+02
 1.6590004e+02	 4.3443155e+02	 2.7316000e+02	 2.7316000e+02
 1.6600005e+02	 4.2894421e+02	 2.7316000e+02	 2.7316000e+02
 1.6610001e+02	 4.2999524e+02	 2.7316000e+02	 2.7316000e+02
 1.6620007e+02	 4.3087521e+02	 2.7316000e+02	 2.7316000e+02
 1.6630000e+02	 4.3201096e+02	 2.7316000e+02	 2.7316000e+02
 1.6640010e+02	 4.2876764e+02	 2.7316000e+02	 2.7316000e+02
 1.6650000e+02	 4.2540451e+02	 2.7316000e+02	 2.7316000e+02
 1.6660007e+02	 4.2739459e+02	 2.7316000e+02	 2.7316000e+02
 1.6670003e+02	 4.2856079e+02	 2.7316000e+02	 2.7316000e+02
 1.6680000e+02	 4.3157230e+02	 2.7316000e+02	 2.7316000e+02
 1.6690005e+02	 4.3243399e+02	 2.7316000e+02	 2.7316000e+02
 1.6700006e+02	 4.3117496e+02	 2.7316000e+02	 2.7316000e+02
 1.6710001e+02	 4.3015186e+02	 2.7316000e+02	 2.7316000e+02
 1.6720006e+02	 4.2828906e+02	 2.7316000e+02	 2.7316000e+02
 1.6730003e+02	 4.2582095e+02	 2.7316000e+02	 2.7316000e+02
 1.6740001e+02	 4.2394662e+02	 2.7316000e+02	 2.7316000e+02
 1.6750000e+02	 4.2369339e+02	 2.7316000e+02	 2.7316000e+02
 1.6760002e+02	 4.2500546e+02	 2.7316000e+02	 2.7316000e+02
 1.6770000e+02	 4.2687711e+02	 2.7316000e+02	 2.7316000e+02
 1.6780000e+02	 4.2834647e+02	 2.7316000e+02	 2.7316000e+02
 1.6790001e+02	 4.2956631e+02	 2.7316000e+02	 2.7316000e+02
 1.6800005e+02	 4.3028568e+02	 2.7316000e+02	 2.7316000e+02
 1.6810002e+02	 4.3080154e+02	 2.7316000e+02	 2.7316000e+02
 1.6820003e+02	 4.3084775e+02	 2.7316000e+02	 2.7316000e+02
 1.6830003e+02	 4.3155457e+02	 2.7316000e+02	 2.7316000e+02
 1.6840002e+02	 4.3296790e+02	 2.7316000e+02	 2.7316000e+02
 1.6850000e+02	 4.3419409e+02	 2.7316000e+02	 2.7316000e+02
 1.6860008e+02	 4.3399640e+02	 2.7316000e+02	 2.7316000e+02
 1.6870001e+02	 4.3352124e+02	 2.7316000e+02	 2.7316000e+02
 1.6880006e+02	 4.3467175e+02	 2.7316000e+02	 2.7316000e+02
 1.6890001e+02	 4.3543591e+02	 2.7316000e+02	 2.7316000e+02
 1.6900002e+02	 4.3656790e+02	 2.7316000e+02	 2.7316000e+02
 1.6910005e+02	 4.3822794e+02	 2.7316000e+02	 2.7316000e+02
 1.6920010e+02	 4.4058328e+02	 2.7316000e+02	 2.7316000e+02
 1.6930003e+02	 4.4331818e+02	 2.7316000e+02	 2.7316000e+02
 1.6940005e+02	 4.4299216e+02	 2.7316000e+02	 2.7316000e+02
 1.6950003e+02	 4.4460706e+02	 2.7316000e+02	 2.7316000e+02
 1.6960005e+02	 4.4165005e+02	 2.7316000e+02	 2.7316000e+02
 1.6970004e+02	 4.3452658e+02	 2.7316000e+02	 2.7316000e+02
 1.6980008e+02	 4.2784109e+02	 2.7316000e+02	 2.7316000e+02
 1.6990001e+02	 4.2023126e+02	 2.7316000e+02	 2.7316000e+02
 1.7000003e+02	 4.1546652e+02	 2.7316000e+02	 2.7316000e+02
