Time(s)	TGK(3,40)	TGK(4,40)	TGK(5,40)
 1.5500002e+02	 5.6490106e+02	 6.0300000e+02	 6.0300000e+02
 1.5600008e+02	 5.6489972e+02	 6.0300000e+02	 6.0300000e+02
 1.5700009e+02	 5.6489771e+02	 6.0300000e+02	 6.0300000e+02
 1.5800018e+02	 5.6489642e+02	 6.0300000e+02	 6.0300000e+02
 1.5900018e+02	 5.6489380e+02	 6.0300000e+02	 6.0300000e+02
 1.6000003e+02	 5.6489252e+02	 6.0300000e+02	 6.0300000e+02
 1.6100005e+02	 5.6489008e+02	 6.0300000e+02	 6.0300000e+02
 1.6200008e+02	 5.6488763e+02	 6.0300000e+02	 6.0300000e+02
 1.6300006e+02	 5.6488562e+02	 6.0300000e+02	 6.0300000e+02
 1.6400012e+02	 5.6488324e+02	 6.0300000e+02	 6.0300000e+02
 1.6410002e+02	 5.2507367e+02	 6.0300000e+02	 6.0300000e+02
 1.6420000e+02	 4.9259833e+02	 6.0300000e+02	 6.0300000e+02
 1.6430002e+02	 4.2836105e+02	 6.0300000e+02	 6.0300000e+02
 1.6440001e+02	 4.2719025e+02	 6.0300000e+02	 6.0300000e+02
 1.6450003e+02	 4.3406369e+02	 6.0300000e+02	 6.0300000e+02
 1.6460002e+02	 4.4924796e+02	 6.0300000e+02	 6.0300000e+02
 1.6470001e+02	 4.7089670e+02	 6.0300000e+02	 6.0300000e+02
 1.6480003e+02	 4.9970132e+02	 6.0300000e+02	 6.0300000e+02
 1.6490002e+02	 5.2573706e+02	 6.0300000e+02	 6.0300000e+02
 1.6500003e+02	 5.2594287e+02	 6.0300000e+02	 6.0300000e+02
 1.6510007e+02	 5.6871130e+02	 6.0300000e+02	 6.0300000e+02
 1.6520001e+02	 6.3494318e+02	 6.0300000e+02	 6.0300000e+02
 1.6530002e+02	 8.5037402e+02	 6.0300000e+02	 6.0300000e+02
 1.6540002e+02	 1.0842534e+03	 6.0300000e+02	 6.0300000e+02
 1.6550002e+02	 9.3709473e+02	 6.0300000e+02	 6.0300000e+02
 1.6560004e+02	 7.2913464e+02	 6.0300000e+02	 6.0300000e+02
 1.6570004e+02	 5.5845966e+02	 6.0300000e+02	 6.0300000e+02
 1.6580003e+02	 5.2290344e+02	 6.0300000e+02	 6.0300000e+02
 1.6590004e+02	 6.5614819e+02	 6.0300000e+02	 6.0300000e+02
 1.6600005e+02	 5.2918286e+02	 6.0300000e+02	 6.0300000e+02
 1.6610001e+02	 5.5532831e+02	 6.0300000e+02	 6.0300000e+02
 1.6620007e+02	 6.1464203e+02	 6.0300000e+02	 6.0300000e+02
 1.6630000e+02	 6.2544971e+02	 6.0300000e+02	 6.0300000e+02
 1.6640010e+02	 6.1605591e+02	 6.0300000e+02	 6.0300000e+02
 1.6650000e+02	 6.3912543e+02	 6.0300000e+02	 6.0300000e+02
 1.6660007e+02	 6.6640033e+02	 6.0300000e+02	 6.0300000e+02
 1.6670003e+02	 6.9909283e+02	 6.0300000e+02	 6.0300000e+02
 1.6680000e+02	 7.1140302e+02	 6.0300000e+02	 6.0300000e+02
 1.6690005e+02	 7.0525403e+02	 6.0300000e+02	 6.0300000e+02
 1.6700006e+02	 7.0427271e+02	 6.0300000e+02	 6.0300000e+02
 1.6710001e+02	 7.0460138e+02	 6.0300000e+02	 6.0300000e+02
 1.6720006e+02	 6.9583282e+02	 6.0300000e+02	 6.0300000e+02
 1.6730003e+02	 6.4844806e+02	 6.0300000e+02	 6.0300000e+02
 1.6740001e+02	 6.4700537e+02	 6.0300000e+02	 6.0300000e+02
 1.6750000e+02	 6.4344159e+02	 6.0300000e+02	 6.0300000e+02
 1.6760002e+02	 6.4681281e+02	 6.0300000e+02	 6.0300000e+02
 1.6770000e+02	 6.6692358e+02	 6.0300000e+02	 6.0300000e+02
 1.6780000e+02	 6.9588800e+02	 6.0300000e+02	 6.0300000e+02
 1.6790001e+02	 7.1484821e+02	 6.0300000e+02	 6.0300000e+02
 1.6800005e+02	 7.2560162e+02	 6.0300000e+02	 6.0300000e+02
 1.6810002e+02	 7.3226385e+02	 6.0300000e+02	 6.0300000e+02
 1.6820003e+02	 7.3915271e+02	 6.0300000e+02	 6.0300000e+02
 1.6830003e+02	 7.5306940e+02	 6.0300000e+02	 6.0300000e+02
 1.6840002e+02	 7.7511646e+02	 6.0300000e+02	 6.0300000e+02
 1.6850000e+02	 7.9587134e+02	 6.0300000e+02	 6.0300000e+02
 1.6860008e+02	 8.4200592e+02	 6.0300000e+02	 6.0300000e+02
 1.6870001e+02	 8.6980829e+02	 6.0300000e+02	 6.0300000e+02
 1.6880006e+02	 9.2159570e+02	 6.0300000e+02	 6.0300000e+02
 1.6890001e+02	 9.6838916e+02	 6.0300000e+02	 6.0300000e+02
 1.6900002e+02	 1.0057189e+03	 6.0300000e+02	 6.0300000e+02
 1.6910005e+02	 1.0332343e+03	 6.0300000e+02	 6.0300000e+02
 1.6920010e+02	 1.0568594e+03	 6.0300000e+02	 6.0300000e+02
 1.6930003e+02	 1.0881451e+03	 6.0300000e+02	 6.0300000e+02
 1.6940005e+02	 1.1088887e+03	 6.0300000e+02	 6.0300000e+02
 1.6950003e+02	 1.1281099e+03	 6.0300000e+02	 6.0300000e+02
 1.6960005e+02	 1.1123165e+03	 6.0300000e+02	 6.0300000e+02
 1.6970004e+02	 9.9949847e+02	 6.0300000e+02	 6.0300000e+02
 1.6980008e+02	 8.8534491e+02	 6.0300000e+02	 6.0300000e+02
 1.6990001e+02	 7.9615814e+02	 6.0300000e+02	 6.0300000e+02
 1.7000003e+02	 7.4013684e+02	 6.0300000e+02	 6.0300000e+02
