Time(s)	RBGK5(1,24)	RBGK5(2,24)	RBGK5(3,24)
 1.2900026e+02	 1.7792252e+02	 1.7792232e+02	 1.7792220e+02
 1.3000006e+02	 1.7791385e+02	 1.7791365e+02	 1.7791353e+02
 1.3100023e+02	 1.7790517e+02	 1.7790497e+02	 1.7790485e+02
 1.3200002e+02	 1.7789650e+02	 1.7789630e+02	 1.7789618e+02
 1.3300009e+02	 1.7788782e+02	 1.7788762e+02	 1.7788750e+02
 1.3400003e+02	 1.7787914e+02	 1.7787895e+02	 1.7787883e+02
 1.3500020e+02	 1.7787045e+02	 1.7787027e+02	 1.7787015e+02
 1.3600014e+02	 1.7786179e+02	 1.7786159e+02	 1.7786148e+02
 1.3700008e+02	 1.7785310e+02	 1.7785292e+02	 1.7785280e+02
 1.3800002e+02	 1.7784442e+02	 1.7784424e+02	 1.7784413e+02
 1.3900027e+02	 1.7783574e+02	 1.7783556e+02	 1.7783545e+02
 1.4000012e+02	 1.7782706e+02	 1.7782687e+02	 1.7782677e+02
 1.4100006e+02	 1.7781839e+02	 1.7781821e+02	 1.7781810e+02
 1.4200020e+02	 1.7780971e+02	 1.7780952e+02	 1.7780942e+02
 1.4300023e+02	 1.7780103e+02	 1.7780084e+02	 1.7780074e+02
 1.4400017e+02	 1.7779234e+02	 1.7779216e+02	 1.7779207e+02
 1.4500008e+02	 1.7778366e+02	 1.7778348e+02	 1.7778339e+02
 1.4600002e+02	 1.7777498e+02	 1.7777481e+02	 1.7777470e+02
 1.4700005e+02	 1.7776630e+02	 1.7776613e+02	 1.7776602e+02
 1.4800018e+02	 1.7775761e+02	 1.7775745e+02	 1.7775734e+02
 1.4900020e+02	 1.7774893e+02	 1.7774876e+02	 1.7774867e+02
 1.5000011e+02	 1.7774025e+02	 1.7774008e+02	 1.7773999e+02
 1.5100027e+02	 1.7773155e+02	 1.7773140e+02	 1.7773131e+02
 1.5200009e+02	 1.7772287e+02	 1.7772272e+02	 1.7772263e+02
 1.5300018e+02	 1.7771419e+02	 1.7771404e+02	 1.7771394e+02
 1.5400015e+02	 1.7770551e+02	 1.7770535e+02	 1.7770526e+02
 1.5500002e+02	 1.7769682e+02	 1.7769667e+02	 1.7769658e+02
 1.5600008e+02	 1.7768814e+02	 1.7768797e+02	 1.7768790e+02
 1.5700009e+02	 1.7767944e+02	 1.7767929e+02	 1.7767921e+02
 1.5800018e+02	 1.7767076e+02	 1.7767061e+02	 1.7767053e+02
 1.5900018e+02	 1.7766208e+02	 1.7766193e+02	 1.7766185e+02
 1.6000003e+02	 1.7765340e+02	 1.7765324e+02	 1.7765317e+02
 1.6100005e+02	 1.7764470e+02	 1.7764456e+02	 1.7764449e+02
 1.6200008e+02	 1.7763602e+02	 1.7763586e+02	 1.7763579e+02
 1.6300006e+02	 1.7762733e+02	 1.7762718e+02	 1.7762711e+02
 1.6400012e+02	 1.7761864e+02	 1.7761850e+02	 1.7761842e+02
 1.6410002e+02	 1.7761290e+02	 1.7761276e+02	 1.7761269e+02
 1.6420000e+02	 1.7760712e+02	 1.7760698e+02	 1.7760690e+02
 1.6430002e+02	 1.7760130e+02	 1.7760117e+02	 1.7760109e+02
 1.6440001e+02	 1.7759549e+02	 1.7759535e+02	 1.7759528e+02
 1.6450003e+02	 1.7758968e+02	 1.7758954e+02	 1.7758946e+02
 1.6460002e+02	 1.7758388e+02	 1.7758374e+02	 1.7758366e+02
 1.6470001e+02	 1.7757808e+02	 1.7757794e+02	 1.7757787e+02
 1.6480003e+02	 1.7757228e+02	 1.7757214e+02	 1.7757207e+02
 1.6490002e+02	 1.7756648e+02	 1.7756635e+02	 1.7756628e+02
 1.6500003e+02	 1.7756070e+02	 1.7756056e+02	 1.7756049e+02
 1.6510007e+02	 1.7755490e+02	 1.7755476e+02	 1.7755469e+02
 1.6520001e+02	 1.7754910e+02	 1.7754897e+02	 1.7754890e+02
 1.6530002e+02	 1.7754330e+02	 1.7754317e+02	 1.7754311e+02
 1.6540002e+02	 1.7753752e+02	 1.7753738e+02	 1.7753731e+02
 1.6550002e+02	 1.7753172e+02	 1.7753159e+02	 1.7753151e+02
 1.6560004e+02	 1.7752592e+02	 1.7752579e+02	 1.7752571e+02
 1.6570004e+02	 1.7752013e+02	 1.7751999e+02	 1.7751993e+02
 1.6580003e+02	 1.7751433e+02	 1.7751419e+02	 1.7751413e+02
 1.6590004e+02	 1.7750854e+02	 1.7750841e+02	 1.7750833e+02
 1.6600005e+02	 1.7750275e+02	 1.7750261e+02	 1.7750253e+02
 1.6610001e+02	 1.7749695e+02	 1.7749681e+02	 1.7749673e+02
 1.6620007e+02	 1.7749115e+02	 1.7749101e+02	 1.7749094e+02
 1.6630000e+02	 1.7748535e+02	 1.7748521e+02	 1.7748515e+02
 1.6640010e+02	 1.7747955e+02	 1.7747942e+02	 1.7747935e+02
 1.6650000e+02	 1.7747377e+02	 1.7747363e+02	 1.7747356e+02
 1.6660007e+02	 1.7746797e+02	 1.7746783e+02	 1.7746776e+02
 1.6670003e+02	 1.7746217e+02	 1.7746204e+02	 1.7746196e+02
 1.6680000e+02	 1.7745638e+02	 1.7745624e+02	 1.7745618e+02
 1.6690005e+02	 1.7745058e+02	 1.7745044e+02	 1.7745038e+02
 1.6700006e+02	 1.7744478e+02	 1.7744464e+02	 1.7744458e+02
 1.6710001e+02	 1.7743898e+02	 1.7743884e+02	 1.7743878e+02
 1.6720006e+02	 1.7743318e+02	 1.7743304e+02	 1.7743298e+02
 1.6730003e+02	 1.7742738e+02	 1.7742726e+02	 1.7742719e+02
