Time(s)	MASN1(1,1)
 5.2000053e+01	 2.1143708e-22
 5.3000069e+01	 2.1143708e-22
 5.4000187e+01	 2.1143708e-22
 5.5000172e+01	 2.1143708e-22
 5.6000126e+01	 2.1143708e-22
 5.7000072e+01	 2.1143708e-22
 5.8000153e+01	 2.1143708e-22
 5.9000050e+01	 2.1143708e-22
 6.0000069e+01	 2.1143708e-22
 6.1000160e+01	 2.1143708e-22
 6.2000050e+01	 2.1143708e-22
 6.3000099e+01	 2.1143708e-22
 6.4000069e+01	 2.1143708e-22
 6.5000206e+01	 2.1143708e-22
 6.6000069e+01	 2.1143708e-22
 6.7000069e+01	 2.1143708e-22
 6.8000008e+01	 2.1143708e-22
 6.9000237e+01	 2.1143708e-22
 7.0000122e+01	 2.1143708e-22
 7.1000031e+01	 2.1143708e-22
 7.2000282e+01	 2.1143708e-22
 7.3000183e+01	 2.1143708e-22
 7.4000183e+01	 2.1143708e-22
 7.5000305e+01	 2.1143708e-22
 7.6000069e+01	 2.1143708e-22
 7.7000076e+01	 2.1143708e-22
 7.8000130e+01	 2.1143708e-22
 7.9000114e+01	 2.1143708e-22
 8.0000267e+01	 2.1143708e-22
 8.1000061e+01	 2.1143708e-22
 8.2000206e+01	 2.1143708e-22
 8.3000099e+01	 2.1143708e-22
 8.4000252e+01	 2.1143708e-22
 8.5000237e+01	 2.1143708e-22
 8.6000008e+01	 2.1143708e-22
 8.7000046e+01	 2.1143708e-22
 8.8000107e+01	 2.1143708e-22
 8.9000130e+01	 2.1143708e-22
 9.0000092e+01	 2.1143708e-22
 9.1000298e+01	 2.1143708e-22
 9.2000191e+01	 2.1143708e-22
 9.3000099e+01	 2.1143708e-22
 9.4000137e+01	 2.1143708e-22
 9.5000000e+01	 2.1143708e-22
 9.6000092e+01	 2.1143708e-22
 9.7000175e+01	 2.1143708e-22
 9.8000183e+01	 2.1143708e-22
 9.9000107e+01	 2.1143708e-22
 1.0000025e+02	 2.1143708e-22
 1.0100002e+02	 2.1143708e-22
 1.0200014e+02	 2.1143708e-22
 1.0300003e+02	 2.1143708e-22
 1.0400006e+02	 2.1143708e-22
 1.0500019e+02	 2.1143708e-22
 1.0600016e+02	 2.1143708e-22
 1.0700005e+02	 2.1143708e-22
 1.0800005e+02	 2.1143708e-22
 1.0900005e+02	 2.1143708e-22
 1.1000010e+02	 2.1143708e-22
 1.1100005e+02	 2.1143708e-22
 1.1200005e+02	 2.1143708e-22
 1.1300011e+02	 2.1143708e-22
 1.1400004e+02	 2.1143708e-22
 1.1500005e+02	 2.1143708e-22
 1.1600015e+02	 2.1143708e-22
 1.1700007e+02	 2.1143708e-22
 1.1800004e+02	 2.1143708e-22
 1.1900003e+02	 2.1143708e-22
 1.2000007e+02	 2.1143708e-22
 1.2100005e+02	 2.1143708e-22
 1.2200008e+02	 2.1143708e-22
 1.2300022e+02	 2.1143708e-22
 1.2400007e+02	 2.1143708e-22
 1.2500008e+02	 2.1143708e-22
 1.2600005e+02	 2.1143708e-22
 1.2700005e+02	 2.1143708e-22
 1.2800008e+02	 2.1143708e-22
 1.2900026e+02	 2.1143708e-22
 1.3000006e+02	 2.1143708e-22
 1.3100023e+02	 2.1143708e-22
 1.3200002e+02	 2.1143708e-22
 1.3300009e+02	 2.1143708e-22
 1.3400003e+02	 2.1143708e-22
 1.3500020e+02	 2.1143708e-22
 1.3600014e+02	 2.1143708e-22
 1.3700008e+02	 2.1143708e-22
 1.3800002e+02	 2.1143708e-22
 1.3900027e+02	 2.1143708e-22
 1.4000012e+02	 2.1143708e-22
 1.4100006e+02	 2.1143708e-22
 1.4200020e+02	 2.1143708e-22
 1.4300023e+02	 2.1143708e-22
 1.4400017e+02	 2.1143708e-22
 1.4500008e+02	 2.1143708e-22
 1.4600002e+02	 2.1143708e-22
 1.4700005e+02	 2.1143708e-22
 1.4800018e+02	 2.1143708e-22
 1.4900020e+02	 2.1143708e-22
 1.5000011e+02	 2.1143708e-22
 1.5100027e+02	 2.1143708e-22
 1.5200009e+02	 2.1143708e-22
 1.5300018e+02	 2.1143708e-22
 1.5400015e+02	 2.1143708e-22
 1.5500002e+02	 2.1143708e-22
 1.5600008e+02	 2.1143708e-22
 1.5700009e+02	 2.1143708e-22
 1.5800018e+02	 2.1143708e-22
 1.5900018e+02	 2.1143708e-22
 1.6000003e+02	 2.1143708e-22
 1.6100005e+02	 2.1143708e-22
 1.6200008e+02	 2.1143708e-22
 1.6300006e+02	 2.1143708e-22
 1.6400012e+02	 2.1143708e-22
 1.6410002e+02	 1.6467766e-03
 1.6420000e+02	 6.5248873e-04
 1.6430002e+02	 3.8170415e-06
 1.6440001e+02	 2.2054798e-09
 1.6450003e+02	 7.9457513e-10
 1.6460002e+02	 3.4125458e-10
 1.6470001e+02	 1.8121411e-10
 1.6480003e+02	 1.1168691e-10
 1.6490002e+02	 5.4106119e-11
 1.6500003e+02	 2.8110124e-11
 1.6510007e+02	 1.4420362e-11
 1.6520001e+02	 5.1784670e-12
 1.6530002e+02	 2.4833013e-12
 1.6540002e+02	 1.4921219e-09
 1.6550002e+02	 7.1147113e-08
 1.6560004e+02	 8.1481723e-14
 1.6570004e+02	 6.0517731e-13
 1.6580003e+02	 1.4010485e-15
 1.6590004e+02	 2.7025177e-14
 1.6600005e+02	 9.7471548e-07
 1.6610001e+02	 2.4699878e-07
 1.6620007e+02	 2.7158262e-07
 1.6630000e+02	 1.0806044e-09
 1.6640010e+02	 1.4017333e-07
 1.6650000e+02	 2.1938881e-06
 1.6660007e+02	 5.9295173e-09
 1.6670003e+02	 1.2328937e-08
 1.6680000e+02	 1.7206560e-08
 1.6690005e+02	 1.5110899e-07
 1.6700006e+02	 5.8059373e-07
 1.6710001e+02	 3.3885209e-07
 1.6720006e+02	 1.1437315e-15
 1.6730003e+02	 1.4505413e-16
 1.6740001e+02	 7.7264617e-18
 1.6750000e+02	 6.7834655e-15
 1.6760002e+02	 4.2299667e-11
 1.6770000e+02	 4.8634232e-11
 1.6780000e+02	 4.9865514e-11
 1.6790001e+02	 6.8660941e-16
 1.6800005e+02	 1.5539454e-13
 1.6810002e+02	 2.5550794e-16
 1.6820003e+02	 6.6199497e-20
 1.6830003e+02	 4.0850399e-20
 1.6840002e+02	 9.1692358e-15
 1.6850000e+02	 5.7395825e-13
 1.6860008e+02	 1.4477904e-17
 1.6870001e+02	 3.9245513e-20
 1.6880006e+02	 3.8673686e-20
 1.6890001e+02	 3.5731621e-20
 1.6900002e+02	 3.5614904e-20
 1.6910005e+02	 3.5566592e-20
 1.6920010e+02	 3.5488753e-20
 1.6930003e+02	 3.5295810e-20
 1.6940005e+02	 3.8377439e-20
 1.6950003e+02	 3.5116467e-20
 1.6960005e+02	 3.4800794e-20
 1.6970004e+02	 3.4767784e-20
 1.6980008e+02	 3.4772712e-20
 1.6990001e+02	 6.3314010e-15
